lemma,clue,source
pc,"Ordinateur personnel, en sigle",bliss-authored
pc,Poste de commandement,bliss-authored
aider,Secourir,bliss-authored
aider,Prêter main-forte,bliss-authored
éditer,Publier,bliss-authored
éditer,Mettre un texte au point,bliss-authored
mentir,Ne pas dire vrai,bliss-authored
mentir,Tromper par la parole,bliss-authored
écrire,Rédiger,bliss-authored
écrire,Tracer des mots,bliss-authored
réagir,Répondre à un stimulus,bliss-authored
réagir,Ne pas rester passif,bliss-authored
hue,Cri au cheval,bliss-authored
hue,"En avant, pour l'attelage",bliss-authored
arn,Molécule génétique,bliss-authored
arn,Cousin de l'ADN,bliss-authored
urée,Composé azoté,bliss-authored
urée,Résidu filtré par le rein,bliss-authored
sou,Ancienne pièce,bliss-authored
sou,Petite monnaie d'antan,bliss-authored
écru,Beige naturel,bliss-authored
écru,"Non blanchi, la toile",bliss-authored
rail,Voie ferrée,bliss-authored
rail,Barre du chemin de fer,bliss-authored
ad,"Réclame, en anglais",bliss-authored
ad,"Préfixe latin, vers",bliss-authored
mo,Symbole du molybdène,bliss-authored
mo,"Mégaoctet, en abrégé",bliss-authored
pt,Symbole du platine,bliss-authored
pt,"Point, en abrégé",bliss-authored
péri,Fée orientale,bliss-authored
péri,Génie de la mythologie persane,bliss-authored
issir,"Sortir, en ancien français",bliss-authored
issir,"Aller au-dehors, jadis",bliss-authored
vue,Panorama,bliss-authored
vue,Sens des yeux,bliss-authored
pal,Pieu pointu,bliss-authored
pal,Meuble héraldique vertical,bliss-authored
hep,Interpellation,bliss-authored
hep,Pour héler quelqu'un,bliss-authored
rôti,Viande cuite au four,bliss-authored
rôti,Pièce du repas dominical,bliss-authored
axe,Ligne centrale,bliss-authored
axe,Direction principale,bliss-authored
étai,Pièce de soutien,bliss-authored
étai,Support d'échafaudage,bliss-authored
cou,Sous la tête,bliss-authored
cou,Il porte le collier,bliss-authored
lac,Étendue d'eau,bliss-authored
lac,Grand plan d'eau,bliss-authored
seau,Récipient à anse,bliss-authored
seau,Compagnon de la pelle,bliss-authored
lui,"Pronom, la troisième personne",bliss-authored
lui,À cet homme,bliss-authored
émir,Prince arabe,bliss-authored
émir,Chef musulman,bliss-authored
po,Fleuve d'Italie,bliss-authored
po,Symbole du polonium,bliss-authored
avérer,Confirmer,bliss-authored
avérer,Se révéler exact,bliss-authored
nuire,Faire du tort,bliss-authored
nuire,Porter préjudice,bliss-authored
nul,Sans valeur,bliss-authored
nul,Match sans vainqueur,bliss-authored
traire,Tirer le lait,bliss-authored
traire,S'occuper de la vache,bliss-authored
cire,Produit de l'abeille,bliss-authored
cire,Elle fait briller le parquet,bliss-authored
aléa,"Hasard, imprévu",bliss-authored
aléa,Risque incertain,bliss-authored
paître,Brouter,bliss-authored
paître,Mener au pré,bliss-authored
dîner,Repas du soir,bliss-authored
dîner,Manger en soirée,bliss-authored
irm,Examen médical par imagerie,bliss-authored
irm,Exploration à résonance magnétique,bliss-authored
stère,Mètre cube de bois,bliss-authored
stère,Mesure de bûches,bliss-authored
résine,Sève durcie du pin,bliss-authored
résine,Substance collante des conifères,bliss-authored
usité,Couramment employé,bliss-authored
usité,En usage,bliss-authored
alité,Cloué au lit,bliss-authored
alité,Malade couché,bliss-authored
raté,Échec,bliss-authored
raté,Bon à rien,bliss-authored
uriner,Faire pipi,bliss-authored
uriner,Se soulager la vessie,bliss-authored
aîné,Premier-né,bliss-authored
aîné,Le plus âgé des enfants,bliss-authored
cv,"Cheval fiscal, en sigle",bliss-authored
cv,Résumé de carrière,bliss-authored
ex,Ancien conjoint,bliss-authored
ex,Ancienne relation amoureuse,bliss-authored
uno,"Un, en italien",bliss-authored
uno,Jeu de cartes,bliss-authored
stase,Ralentissement du sang,bliss-authored
stase,Stagnation d'un fluide,bliss-authored
nb,"Nota bene, en bref",bliss-authored
nb,Abréviation de nombre,bliss-authored
pers,Couleur des yeux,bliss-authored
pers,Entre bleu et vert,bliss-authored
taie,Enveloppe d'oreiller,bliss-authored
taie,Tache sur la cornée,bliss-authored
taro,Plante tropicale comestible,bliss-authored
taro,Tubercule des îles,bliss-authored
nom,Appellation d'une personne,bliss-authored
nom,Mot qui désigne,bliss-authored
étaler,Répartir sur une surface,bliss-authored
étaler,Exhiber avec ostentation,bliss-authored
mêler,"Brasser, remuer",bliss-authored
mêler,Embrouiller,bliss-authored
ohé,Cri pour appeler,bliss-authored
ohé,Interjection pour héler,bliss-authored
acre,Mesure agraire anglaise,bliss-authored
acre,Ancienne unité de surface,bliss-authored
xiv,Quatorze en chiffres romains,bliss-authored
xiv,Quatorze à Rome,bliss-authored
gin,Alcool anglais,bliss-authored
gin,Spiritueux au genièvre,bliss-authored
œil,Organe de la vue,bliss-authored
œil,Il permet de voir,bliss-authored
partir,S'en aller,bliss-authored
partir,Quitter un lieu,bliss-authored
rose,Fleur à épines,bliss-authored
rose,Couleur pâle du rouge,bliss-authored
pair,Nombre divisible par deux,bliss-authored
pair,Membre d'égal rang,bliss-authored
tendre,"Peu résistant, moelleux",bliss-authored
tendre,Affectueux,bliss-authored
iut,Institut universitaire de technologie,bliss-authored
iut,"Fac technologique, en bref",bliss-authored
rho,Lettre grecque,bliss-authored
rho,R des Grecs,bliss-authored
éviter,Se soustraire à,bliss-authored
éviter,Contourner un obstacle,bliss-authored
repaître,Rassasier,bliss-authored
repaître,Nourrir abondamment,bliss-authored
tarse,Os du pied,bliss-authored
tarse,Segment de patte d'insecte,bliss-authored
thé,Boisson chaude infusée,bliss-authored
thé,Plante à infuser,bliss-authored
cn,Symbole du copernicium,bliss-authored
cn,Élément chimique 112,bliss-authored
croire,Tenir pour vrai,bliss-authored
croire,Avoir la foi,bliss-authored
do,Note de musique,bliss-authored
do,Première note de la gamme,bliss-authored
garer,Ranger un véhicule,bliss-authored
garer,Mettre à l'abri,bliss-authored
mn,Symbole du manganèse,bliss-authored
mn,Abréviation de minute,bliss-authored
nager,Se mouvoir dans l'eau,bliss-authored
nager,Faire la brasse,bliss-authored
fêter,Célébrer,bliss-authored
fêter,Marquer un événement joyeux,bliss-authored
laver,Nettoyer à l'eau,bliss-authored
laver,Ôter les taches,bliss-authored
tester,Essayer un produit,bliss-authored
tester,Mettre à l'épreuve,bliss-authored
inné,De naissance,bliss-authored
inné,Non acquis,bliss-authored
ruiner,Mettre à sec financièrement,bliss-authored
ruiner,Détruire complètement,bliss-authored
série,Suite d'éléments,bliss-authored
série,Feuilleton télévisé,bliss-authored
jeu,Divertissement,bliss-authored
jeu,Activité récréative,bliss-authored
sud,Point cardinal,bliss-authored
sud,Opposé au nord,bliss-authored
ttc,Toutes taxes comprises,bliss-authored
ttc,Prix taxes incluses,bliss-authored
noir,Couleur sombre,bliss-authored
noir,Sans lumière,bliss-authored
sens,Signification,bliss-authored
sens,Direction d'un déplacement,bliss-authored
ah,Cri de surprise,bliss-authored
ah,Interjection d'étonnement,bliss-authored
fr,"France, en abrégé",bliss-authored
fr,Domaine internet français,bliss-authored
ha,Symbole de l'hectare,bliss-authored
ha,Cri de surprise,bliss-authored
if,Arbre à baies rouges,bliss-authored
if,Conifère de cimetière,bliss-authored
usd,"Dollar américain, en bourse",bliss-authored
usd,Monnaie des États-Unis,bliss-authored
qr,Code-barres carré,bliss-authored
qr,Sigle d'un code 2D,bliss-authored
ternir,Faire perdre l'éclat,bliss-authored
ternir,Salir une réputation,bliss-authored
tata,"Tante, familièrement",bliss-authored
tata,Fortification africaine,bliss-authored
tisser,Faire de la toile,bliss-authored
tisser,Entrelacer des fils,bliss-authored
cesser,Arrêter,bliss-authored
cesser,Prendre fin,bliss-authored
zig,"Individu, type (fam.)",bliss-authored
zig,Joyeux compagnon,bliss-authored
ravir,"Enchanter, charmer",bliss-authored
ravir,Enlever de force,bliss-authored
pâte,Mélange de farine,bliss-authored
pâte,Matière molle à modeler,bliss-authored
élever,Dresser un enfant,bliss-authored
élever,"Construire, ériger",bliss-authored
marié,Époux du jour,bliss-authored
marié,Jeune conjoint,bliss-authored
insérer,Introduire dans,bliss-authored
insérer,Glisser au milieu,bliss-authored
sucer,Aspirer avec la bouche,bliss-authored
sucer,Téter un bonbon,bliss-authored
âpre,Rude au goût,bliss-authored
âpre,"Rêche, sévère",bliss-authored
chi,Lettre grecque,bliss-authored
chi,Énergie vitale chinoise,bliss-authored
oral,Épreuve parlée,bliss-authored
oral,De la bouche,bliss-authored
pêne,Pièce de serrure,bliss-authored
pêne,Il ferme la porte,bliss-authored
mué,Qui a changé de peau,bliss-authored
mué,À la voix transformée,bliss-authored
méat,Petit orifice,bliss-authored
méat,Conduit anatomique,bliss-authored
fier,Orgueilleux,bliss-authored
fier,"Digne, altier",bliss-authored
prendre,Saisir,bliss-authored
prendre,S'emparer de,bliss-authored
noyer,Arbre à noix,bliss-authored
noyer,Faire périr dans l'eau,bliss-authored
tsar,Empereur russe,bliss-authored
tsar,Souverain de Russie,bliss-authored
gbp,"Livre sterling, en bourse",bliss-authored
gbp,Monnaie britannique,bliss-authored
xii,Douze en chiffres romains,bliss-authored
xii,Douze à Rome,bliss-authored
phi,Lettre grecque,bliss-authored
phi,"Nombre d'or, symbole",bliss-authored
eros,Dieu grec de l'amour,bliss-authored
eros,Divinité du désir,bliss-authored
maar,Cratère volcanique,bliss-authored
maar,Lac de cratère,bliss-authored
rien,Nulle chose,bliss-authored
rien,Absence de tout,bliss-authored
sos,Appel de détresse,bliss-authored
sos,Signal de secours,bliss-authored
raid,Incursion militaire,bliss-authored
raid,Course d'endurance,bliss-authored
râpe,Ustensile de cuisine,bliss-authored
râpe,Outil qui use,bliss-authored
cia,Renseignement américain,bliss-authored
cia,Agence d'espionnage US,bliss-authored
curer,Nettoyer en creusant,bliss-authored
curer,Vider un fossé,bliss-authored
toc,"Faux bijou, imitation",bliss-authored
toc,Bruit à la porte,bliss-authored
mater,"Dompter, maîtriser",bliss-authored
mater,Regarder (fam.),bliss-authored
sept,Chiffre après six,bliss-authored
sept,Jours de la semaine,bliss-authored
seul,Sans compagnie,bliss-authored
seul,"Isolé, unique",bliss-authored
dos,Partie arrière du corps,bliss-authored
dos,"Revers, envers",bliss-authored
nd,Symbole du néodyme,bliss-authored
nd,"Notre-Dame, en abrégé",bliss-authored
pm,Après-midi (sigle anglais),bliss-authored
pm,"Premier ministre, sigle",bliss-authored
mou,Sans fermeté,bliss-authored
mou,Manquant de tonus,bliss-authored
éteindre,Faire cesser de brûler,bliss-authored
éteindre,Couper la lumière,bliss-authored
pâtir,"Souffrir, endurer",bliss-authored
pâtir,Subir un préjudice,bliss-authored
rayer,Barrer d'un trait,bliss-authored
rayer,Faire une éraflure,bliss-authored
remuer,Agiter,bliss-authored
remuer,Bouger sans cesse,bliss-authored
forer,Percer un trou profond,bliss-authored
forer,Creuser un puits,bliss-authored
acte,Action accomplie,bliss-authored
acte,Partie d'une pièce,bliss-authored
nain,Homme minuscule,bliss-authored
nain,Personnage de conte,bliss-authored
casser,Briser,bliss-authored
casser,Mettre en morceaux,bliss-authored
paraître,"Sembler, avoir l'air",bliss-authored
paraître,Être publié,bliss-authored
virer,Changer de direction,bliss-authored
virer,Transférer de l'argent,bliss-authored
terre,Planète bleue,bliss-authored
terre,Sol cultivable,bliss-authored
idée,Pensée,bliss-authored
idée,Conception de l'esprit,bliss-authored
pus,Liquide d'infection,bliss-authored
pus,Sécrétion d'abcès,bliss-authored
peindre,Couvrir de couleur,bliss-authored
peindre,Représenter sur toile,bliss-authored
crête,Sommet de vague,bliss-authored
crête,Ornement du coq,bliss-authored
plier,Rabattre en deux,bliss-authored
plier,Courber sous l'effort,bliss-authored
bâtir,Construire,bliss-authored
bâtir,Édifier,bliss-authored
nuée,Gros nuage,bliss-authored
nuée,Multitude en vol,bliss-authored
seine,Fleuve de Paris,bliss-authored
seine,Grand filet de pêche,bliss-authored
réciter,Dire par cœur,bliss-authored
réciter,Déclamer un texte,bliss-authored
devoir,Obligation morale,bliss-authored
devoir,Travail d'écolier,bliss-authored
scie,Outil à dents,bliss-authored
scie,Rengaine agaçante,bliss-authored
août,Mois des vacances,bliss-authored
août,Huitième mois,bliss-authored
état,Nation organisée,bliss-authored
état,"Situation, condition",bliss-authored
urne,Vase à bulletins,bliss-authored
urne,Vase funéraire,bliss-authored
cène,Dernier repas du Christ,bliss-authored
cène,Repas sacré des apôtres,bliss-authored
rite,Cérémonie réglée,bliss-authored
rite,Usage religieux,bliss-authored
rade,Baie abritée,bliss-authored
rade,Mouillage de navires,bliss-authored
élan,Grand cerf du Nord,bliss-authored
élan,Mouvement vif,bliss-authored
étui,Boîte à lunettes,bliss-authored
étui,Gaine protectrice,bliss-authored
râle,Oiseau des marais,bliss-authored
râle,Bruit de gorge,bliss-authored
lot,Gros gain de loterie,bliss-authored
lot,Ensemble de marchandises,bliss-authored
marier,Unir par les liens,bliss-authored
marier,Assortir des couleurs,bliss-authored
arrêter,Cesser un mouvement,bliss-authored
arrêter,Appréhender un suspect,bliss-authored
du,Article contracté,bliss-authored
du,"De le, contracté",bliss-authored
émoi,Vive émotion,bliss-authored
émoi,"Trouble, agitation",bliss-authored
mal,Contraire du bien,bliss-authored
mal,Douleur physique,bliss-authored
mg,Millième de gramme,bliss-authored
mg,Symbole du magnésium,bliss-authored
ml,Millième de litre,bliss-authored
ml,Petite mesure de volume,bliss-authored
régler,Ajuster un mécanisme,bliss-authored
régler,Payer une facture,bliss-authored
tain,Étamage de miroir,bliss-authored
tain,Couche derrière la glace,bliss-authored
able,Petit poisson blanc,bliss-authored
able,Poisson d'eau douce,bliss-authored
nez,Organe de l'odorat,bliss-authored
nez,Appendice du visage,bliss-authored
nno,Direction de la boussole,bliss-authored
nno,Entre nord et nord-ouest,bliss-authored
battre,Frapper à coups,bliss-authored
battre,Vaincre un adversaire,bliss-authored
redire,Répéter un propos,bliss-authored
redire,Trouver à critiquer,bliss-authored
cane,Femelle du colvert,bliss-authored
cane,Oiseau de basse-cour,bliss-authored
venir,Se rendre quelque part,bliss-authored
venir,Arriver vers,bliss-authored
pme,Petite ou moyenne entreprise,bliss-authored
pme,"Firme modeste, en sigle",bliss-authored
boire,Absorber un liquide,bliss-authored
boire,Ingérer une gorgée,bliss-authored
hop,Interjection vive,bliss-authored
hop,Cri d'un bond,bliss-authored
pire,Le plus mauvais,bliss-authored
pire,Comble du mal,bliss-authored
qui,Pronom relatif,bliss-authored
qui,"Lequel, en question",bliss-authored
paie,Salaire du travailleur,bliss-authored
paie,Rémunération mensuelle,bliss-authored
perdre,Égarer un objet,bliss-authored
perdre,Être vaincu,bliss-authored
ante,Mise initiale au poker,bliss-authored
ante,Préfixe signifiant avant,bliss-authored
têtu,Qui n'en démord pas,bliss-authored
têtu,"Obstiné, buté",bliss-authored
féal,Fidèle vassal,bliss-authored
féal,Loyal serviteur,bliss-authored
ramener,Reconduire chez soi,bliss-authored
ramener,Rapporter avec soi,bliss-authored
percer,Faire un trou,bliss-authored
percer,Traverser de part en part,bliss-authored
sérum,Liquide sanguin,bliss-authored
sérum,Injection thérapeutique,bliss-authored
serre,Abri des plantes,bliss-authored
serre,Griffe du rapace,bliss-authored
altérer,Modifier en mal,bliss-authored
altérer,Donner soif,bliss-authored
étau,Outil qui serre,bliss-authored
étau,Presse d'établi,bliss-authored
cul,Postérieur,bliss-authored
cul,Fond d'une bouteille,bliss-authored
varier,Changer souvent,bliss-authored
varier,Diversifier,bliss-authored
br,Symbole du brome,bliss-authored
br,"Halogène, en symbole",bliss-authored
cd,Disque numérique,bliss-authored
cd,Symbole du cadmium,bliss-authored
ardu,Très difficile,bliss-authored
ardu,Malaisé à faire,bliss-authored
sisal,Fibre textile,bliss-authored
sisal,Plante à cordages,bliss-authored
égarer,Perdre un objet,bliss-authored
égarer,"Fourvoyer, tromper",bliss-authored
mm,Millième de mètre,bliss-authored
mm,Petite unité de longueur,bliss-authored
pb,Symbole du plomb,bliss-authored
pb,"Ennui, en abrégé",bliss-authored
rn,Route nationale,bliss-authored
rn,Symbole du radon,bliss-authored
sf,Genre d'anticipation,bliss-authored
sf,"Récit futuriste, en sigle",bliss-authored
frire,Cuire dans l'huile,bliss-authored
frire,Passer à la poêle,bliss-authored
vil,Bas et méprisable,bliss-authored
vil,Sans honneur,bliss-authored
ranger,Mettre en ordre,bliss-authored
ranger,Classer soigneusement,bliss-authored
net,Propre et clair,bliss-authored
net,"Sans déduction, final",bliss-authored
méta,Préfixe du dépassement,bliss-authored
méta,"Au-delà, en grec",bliss-authored
fan,"Admirateur passionné, mot anglais",bliss-authored
fan,Supporter enthousiaste,bliss-authored
spot,"Projecteur ponctuel, mot anglais",bliss-authored
spot,Message publicitaire,bliss-authored
naïf,Trop crédule,bliss-authored
naïf,Simple et candide,bliss-authored
nard,Plante aromatique,bliss-authored
nard,Parfum de l'Antiquité,bliss-authored
carré,Quadrilatère égal,bliss-authored
carré,Puissance deux,bliss-authored
cash,"Argent comptant, mot anglais",bliss-authored
cash,"Sans détour, direct",bliss-authored
saluer,Dire bonjour,bliss-authored
saluer,Rendre hommage,bliss-authored
aminé,Acide des protéines,bliss-authored
aminé,Se dit d'un acide,bliss-authored
imam,Chef de prière musulman,bliss-authored
imam,Guide religieux de l'islam,bliss-authored
saut,Bond en l'air,bliss-authored
saut,Franchissement d'obstacle,bliss-authored
citer,Rapporter les mots,bliss-authored
citer,Convoquer en justice,bliss-authored
riz,Céréale d'Asie,bliss-authored
riz,Grain du risotto,bliss-authored
raidir,Rendre rigide,bliss-authored
raidir,Tendre avec force,bliss-authored
bah,Marque d'indifférence,bliss-authored
bah,Interjection de doute,bliss-authored
opérer,Pratiquer une chirurgie,bliss-authored
opérer,"Effectuer, réaliser",bliss-authored
usine,Fabrique industrielle,bliss-authored
usine,Lieu de production,bliss-authored
tasse,Récipient à café,bliss-authored
tasse,Contenu à boire,bliss-authored
épurer,Rendre pur,bliss-authored
épurer,Éliminer les impuretés,bliss-authored
étale,Mer sans mouvement,bliss-authored
étale,Sans hausse ni baisse,bliss-authored
bra,"Sous-vêtement, en anglais",bliss-authored
bra,Code du Brésil,bliss-authored
rural,De la campagne,bliss-authored
rural,"Champêtre, agreste",bliss-authored
névé,Neige durcie,bliss-authored
névé,Glace de montagne,bliss-authored
traîner,Tirer derrière soi,bliss-authored
traîner,"Lambiner, tarder",bliss-authored
reine,Épouse du roi,bliss-authored
reine,Pièce des échecs,bliss-authored
aide,"Assistance, soutien",bliss-authored
aide,Coup de main,bliss-authored
secte,Groupe fanatique,bliss-authored
secte,Communauté fermée,bliss-authored
aile,Membre de l'oiseau,bliss-authored
aile,Partie de l'avion,bliss-authored
note,Son de musique,bliss-authored
note,Appréciation chiffrée,bliss-authored
luc,Évangéliste,bliss-authored
luc,Prénom masculin,bliss-authored
barrer,Fermer un passage,bliss-authored
barrer,Rayer d'un trait,bliss-authored
gémir,Se plaindre en pleurant,bliss-authored
gémir,Pousser des plaintes,bliss-authored
ht,Prix sans la TVA,bliss-authored
ht,"Hors taxes, en abrégé",bliss-authored
dom,"Département d'outre-mer, sigle",bliss-authored
dom,Titre d'un bénédictin,bliss-authored
mar,"Maroc, code à trois lettres",bliss-authored
mar,"Mardi, en abrégé",bliss-authored
mu,Lettre grecque,bliss-authored
mu,Elle précède nu dans l'alphabet grec,bliss-authored
nl,"Pays-Bas, sur Internet",bliss-authored
nl,Code des Pays-Bas,bliss-authored
dur,Difficile à entamer,bliss-authored
dur,"Résistant, ferme",bliss-authored
mil,Céréale des pays chauds,bliss-authored
mil,"Mille, dans un millésime",bliss-authored
vc,"Petite route de campagne, sigle",bliss-authored
vc,"Voie communale, en abrégé",bliss-authored
iran,Pays de Téhéran,bliss-authored
iran,État du Golfe persique,bliss-authored
zn,Symbole du zinc,bliss-authored
zn,"Métal, en chimie",bliss-authored
teint,Coloris de la peau,bliss-authored
teint,Carnation du visage,bliss-authored
mur,Séparation en pierre,bliss-authored
mur,Ce qu'on escalade en prison,bliss-authored
vif,Plein d'énergie,bliss-authored
vif,Alerte et rapide,bliss-authored
soie,Étoffe brillante et douce,bliss-authored
soie,Production du bombyx,bliss-authored
vos,Adjectif possessif,bliss-authored
vos,"À vous, au pluriel",bliss-authored
solo,Morceau pour un seul,bliss-authored
solo,En solitaire,bliss-authored
asile,Lieu de refuge,bliss-authored
asile,Abri pour réfugiés,bliss-authored
asse,Outil tranchant courbé,bliss-authored
asse,Herminette de tonnelier,bliss-authored
récrier,S'exclamer vivement,bliss-authored
récrier,Protester avec force,bliss-authored
sente,Étroit chemin,bliss-authored
sente,Layon en forêt,bliss-authored
fane,Feuille flétrie,bliss-authored
fane,Feuillage des radis,bliss-authored
rente,Revenu régulier,bliss-authored
rente,Pension annuelle,bliss-authored
fra,"Frère, en italien",bliss-authored
fra,Code de la France,bliss-authored
isoler,Mettre à l'écart,bliss-authored
isoler,Séparer des autres,bliss-authored
case,Carré d'un damier,bliss-authored
case,Hutte africaine,bliss-authored
item,Élément d'une liste,bliss-authored
item,"De même, en latin",bliss-authored
gnu,Antilope d'Afrique,bliss-authored
gnu,Gros herbivore des savanes,bliss-authored
usuel,D'usage courant,bliss-authored
usuel,"Habituel, fréquent",bliss-authored
étole,Écharpe de prêtre,bliss-authored
étole,Bande liturgique,bliss-authored
zéro,Chiffre rond,bliss-authored
zéro,Absence de valeur,bliss-authored
artère,Vaisseau sanguin,bliss-authored
artère,Grande voie urbaine,bliss-authored
aïeul,Grand-père,bliss-authored
aïeul,Ancêtre de la famille,bliss-authored
bénir,Consacrer par un rite,bliss-authored
bénir,Combler de grâces,bliss-authored
roue,Elle tourne sur l'essieu,bliss-authored
roue,Organe rond du vélo,bliss-authored
lest,Poids d'un ballon,bliss-authored
lest,Charge de stabilisation,bliss-authored
prêt,Crédit bancaire,bliss-authored
prêt,Disposé à agir,bliss-authored
paon,Bel oiseau bleuté,bliss-authored
paon,Il fait la roue,bliss-authored
adn,Molécule de l'hérédité,bliss-authored
adn,Support des gènes,bliss-authored
scan,Image numérisée,bliss-authored
scan,Examen d'imagerie médicale,bliss-authored
open,"Tournoi de tennis, mot anglais",bliss-authored
open,"Ouvert, en anglais",bliss-authored
serpe,Outil du vigneron,bliss-authored
serpe,Lame pour élaguer,bliss-authored
agar,Gélifiant tiré d'algues,bliss-authored
agar,Gelée pour cultures microbiennes,bliss-authored
mare,Petite étendue d'eau,bliss-authored
mare,Flaque stagnante,bliss-authored
payer,Régler une somme,bliss-authored
payer,Acquitter une dette,bliss-authored
bal,Soirée dansante,bliss-authored
bal,Fête où l'on danse,bliss-authored
irréel,Qui n'existe pas,bliss-authored
irréel,"Chimérique, imaginaire",bliss-authored
ébène,Bois noir précieux,bliss-authored
ébène,Noir profond,bliss-authored
persan,Tapis d'Orient,bliss-authored
persan,Chat à longs poils,bliss-authored
nerf,Conducteur de l'influx,bliss-authored
nerf,Il transmet la sensation,bliss-authored
grec,Langue de Platon,bliss-authored
grec,Habitant d'Athènes,bliss-authored
apte,"Habile, capable",bliss-authored
apte,En état de faire,bliss-authored
rive,Bord d'un fleuve,bliss-authored
rive,Berge d'un cours d'eau,bliss-authored
puiser,Tirer de l'eau,bliss-authored
puiser,Prendre dans une réserve,bliss-authored
courir,Se déplacer vite,bliss-authored
courir,Aller au galop,bliss-authored
férié,Jour chômé,bliss-authored
férié,Non travaillé,bliss-authored
acier,Alliage de fer,bliss-authored
acier,Métal des lames,bliss-authored
envier,Jalouser autrui,bliss-authored
envier,Convoiter le bien d'autrui,bliss-authored
lasser,Fatiguer à la longue,bliss-authored
lasser,Ennuyer par la répétition,bliss-authored
az,"Arizona, en abrégé",bliss-authored
az,"Azerbaïdjan, sur le web",bliss-authored
ba,Symbole du baryum,bliss-authored
ba,"Bonne action, chez les scouts",bliss-authored
cg,Centième de gramme,bliss-authored
cg,"Petite masse, symbole",bliss-authored
dj,Il passe les disques,bliss-authored
dj,"Djibouti, code pays",bliss-authored
inter,"Communication à distance, jadis",bliss-authored
inter,Préfixe: entre,bliss-authored
snob,Poseur mondain,bliss-authored
snob,Qui affecte le bon goût,bliss-authored
MD,"Milliard, en abrégé",bliss-authored
MD,"Maryland, aux États-Unis",bliss-authored
oh,Cri de surprise,bliss-authored
oh,Marque l'étonnement,bliss-authored
tine,Grand baquet de bois,bliss-authored
tine,Cuve de vendangeur,bliss-authored
wu,Dialecte chinois,bliss-authored
wu,Parler de la région de Shanghai,bliss-authored
peso,Monnaie mexicaine,bliss-authored
peso,Devise d'Amérique latine,bliss-authored
gêner,Mettre mal à l'aise,bliss-authored
gêner,Embarrasser quelqu'un,bliss-authored
désirer,Avoir envie de,bliss-authored
désirer,Souhaiter ardemment,bliss-authored
dater,Situer dans le temps,bliss-authored
dater,Remonter à une époque,bliss-authored
mourir,Cesser de vivre,bliss-authored
mourir,Rendre l'âme,bliss-authored
ocre,Pigment jaune-brun,bliss-authored
ocre,Terre colorante,bliss-authored
viser,Pointer une cible,bliss-authored
viser,Chercher à atteindre,bliss-authored
gâter,Combler d'attentions,bliss-authored
gâter,"Abîmer, avarier",bliss-authored
tenter,Essayer de faire,bliss-authored
tenter,Chercher à séduire,bliss-authored
caïd,Chef de bande,bliss-authored
caïd,Truand influent,bliss-authored
essor,Rapide développement,bliss-authored
essor,Envol d'un oiseau,bliss-authored
espérer,Attendre avec confiance,bliss-authored
espérer,Compter sur l'avenir,bliss-authored
serein,Calme et paisible,bliss-authored
serein,Sans nuage,bliss-authored
allier,Unir des forces,bliss-authored
allier,Département auvergnat,bliss-authored
ouf,Soupir de soulagement,bliss-authored
ouf,Cri de la fin d'un effort,bliss-authored
nasse,Piège à poissons,bliss-authored
nasse,Casier de pêcheur,bliss-authored
écarter,Éloigner l'un de l'autre,bliss-authored
écarter,Mettre de côté,bliss-authored
vase,Pot à fleurs,bliss-authored
vase,Boue du fond des étangs,bliss-authored
silo,Réservoir à grains,bliss-authored
silo,Fosse à fourrage,bliss-authored
adorer,Aimer passionnément,bliss-authored
adorer,Vouer un culte,bliss-authored
haïr,Détester profondément,bliss-authored
haïr,Avoir en horreur,bliss-authored
renne,Cervidé du Grand Nord,bliss-authored
renne,Il tire le traîneau du Père Noël,bliss-authored
same,Lapon de Scandinavie,bliss-authored
same,Peuple du Grand Nord,bliss-authored
anal,Du bas du tube digestif,bliss-authored
anal,Relatif à l'anus,bliss-authored
séparer,Diviser en deux,bliss-authored
séparer,Mettre à part,bliss-authored
nitre,"Salpêtre, autrefois",bliss-authored
nitre,Nitrate de potassium naturel,bliss-authored
égaré,Perdu en route,bliss-authored
égaré,Qui a perdu son chemin,bliss-authored
arabe,Langue du Maghreb,bliss-authored
arabe,"Chiffre, opposé au romain",bliss-authored
résoudre,Trouver la solution,bliss-authored
résoudre,Venir à bout d'un problème,bliss-authored
pape,Chef de l'Église catholique,bliss-authored
pape,Souverain du Vatican,bliss-authored
télé,Petit écran,bliss-authored
télé,Poste du salon,bliss-authored
répéter,Redire sans cesse,bliss-authored
répéter,Refaire pour apprendre,bliss-authored
imc,Indice de masse corporelle,bliss-authored
imc,Repère de poids santé,bliss-authored
païen,Adorateur d'idoles,bliss-authored
païen,Non-croyant,bliss-authored
pari,Enjeu de jeu,bliss-authored
pari,Mise risquée,bliss-authored
ogre,Géant mangeur d'enfants,bliss-authored
ogre,Monstre des contes,bliss-authored
arg,"Argentine, code pays",bliss-authored
arg,Sigle du peso argentin,bliss-authored
petit,De faible taille,bliss-authored
petit,Minuscule,bliss-authored
natte,Tresse de cheveux,bliss-authored
natte,Tapis de paille,bliss-authored
nègre,Écrivain de l'ombre,bliss-authored
nègre,Affluent de l'Amazone,bliss-authored
émeri,Abrasif pour aiguiser,bliss-authored
émeri,Poudre qui décape,bliss-authored
harem,Gynécée oriental,bliss-authored
harem,Appartement des sultanes,bliss-authored
froid,Manque de chaleur,bliss-authored
